business_id,explain_1,explain_2,explain_3,explain_4,explain_5
8EHiK59NngwSxjcTYAzywQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8F75isJz4UF_5LFsyf80HA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8GCFe81qmoTEcq2BnO-HGg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8GV2FoK0nkVKC6xMoKNKHA,Many people come back repeatedly (20% return rate),Loyalty is broad across many users (not dominated by super-users),Highly rated AND consistently chosen by regulars,No single user dominates visits (healthy diverse patronage),
8Ho1ctSlanp9w_-dPmkFSA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8Hq-mqE5n9q7RFP5ghnm0A,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8IBVhpwSRtnbUhrNb7W8xg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8IOOFeWwW9p8auITeMtiHQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8IV78gQwTH-eZgbfFS_plg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (5.0★),
8IazNnZkqYlNODBZPS1CGA,Many people come back repeatedly (14% return rate),Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8J-hkpk56R9UX69YKNTtPw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8JEVqaKFy6BNsNIhCnnAmA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8JRdV8M8b2bIZGH92gMQ0Q,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8JoO_AUqcqjwHiMrRvaGIg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8L0hQvh5JCg4G0jdZFmUFA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8MyjJ5ocf9VFjdscKrQu4A,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8MzlreHr5tUxXM_Maqm1eg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8NGxdDjUnNr_7ZnAWk_cRw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8NKKQv7GL-S3je-A2IQThA,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8NcCGX7b9sXcYOvd57dFSw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8NqrX9MRsjql8lGiuxlmeg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8Oh9PG45L4bDN3kXzKunVA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8PKxsbyRIPfhe0KMiBYuyg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8PjqEoQoQKhmsvSDF9dHQA,Many people come back repeatedly (12% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",
8TBPpEgCEEpVlPyo9LKcGw,Many people come back repeatedly (12% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",
8TkCsT1AV1xW4Ud_8MaEgA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.7★)
8UuBoJmuIf29LqM-zm3Qdg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8VfQxXmbPdn8zvsVpYcBWA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8W4w1sXXDER5ujjE-cuOFg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8WHQJywgI5hBjLaNd65rQg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.7★),
8WZh1nEW3BzsqGk_j73TFQ,Many people come back repeatedly (17% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Not the highest rated, but consistently chosen by regulars","Popular year-round, not just seasonal"
8Wq0LZSuHdPTlleQD5sU_w,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8Wqjjtq9PAK7EulkmjJtDA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8X9Urg-r8QmQOAoBJmX2pA,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8XMrbikOColypHMqLsJoxA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8Xk9nyQkaLZyWJcZrwX2uA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.8★)
8YJtf5v76SIz-4udyF4YmA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.6★),,
8YZc7dVxGjFvEyX0L9ugbA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8ZHMr31oBElXmaqSmZJs2Q,Many people come back repeatedly (11% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",
8ZN5M6bUQ_KWo8YbxYSVPA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8ZhC29t_mepcAQ4OlN15NQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8_7HvKnMgkO2p7EDc74f2Q,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.5★),
8_Q7nxgnb6WuAOhhOT0ONw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8aEHSfVjOUC7XSJw3xwrqg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8b-DMpY7hDf67vAIJChNWg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8bdrXvgQ3pkvR0bCTg_LDA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8cGyreYTlXU87DfS8g4P7Q,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8cvkk0HB-F2Irctug1h3SA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8dBPK7LNnKVAewpouGoADA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8dZbYgJxNgKd9G3kHWmQ6w,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (4.7★),,
8dsMAUIA8Xk-2B0qrDHSnw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8ediP1TG3wJybp-Ixo_N7Q,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8iMubtt1hTafu5YhEzvZVg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.6★),,
8iiOtnFCXPsq4mbXd-L-Qg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8jkCh4MKxS126H-ld-AFYw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (4.5★),
8jwsNjvVNJiYN7AnxHdMLA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8n86Y8qTud6kcHgB1615OA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8n93L-ilMAsvwUatarykSg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8o3w3Tu368WTFz45rMLvYQ,Many people come back repeatedly (12% return rate),Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8odXL99ki7fi2YPgvAd14w,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8ohbOM0ulHhPuNAbtTMvbQ,Many people come back repeatedly (17% return rate),Loyalty is broad across many users (not dominated by super-users),Highly rated AND consistently chosen by regulars,"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage)
8pSm6e9I8zUMa00Voc4giw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.6★)
8pzVSfj7R3yzOlTepfcIzA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8q1goL8IPTfNMdEPm5ssQA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8q25GCkL0PngPIlCu2j4Vw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),Excellent customer ratings (5.0★),,
8qGe4GQYyZstFhYa0rvpIg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8qr1cXhqYGOXFNStgcMvhw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.9★),,
8rBYBu7loRsufEDK0MpHuA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8rdnJAHnce3Cgon2w_EvGg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8t3a6XoVbQ0nAOwCzpEsaw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8tsgnMFsMHuMIgrdjpEHLg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8u30hH32rp4d3TnULZw9vQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8u70WVawnsReBWNv7IXNSg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8uBU5Jnjz1IwnR2wCSO0Ag,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.5★),
8uF-bhJFgT4Tn6DTb27viA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8usO-H5uFTzlISfGZN8rSg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8uxr2vjNzNzBkFVVxCHEJw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8vuulrqX0uw80A53wXmRSw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8vwdDagJc8bJR0ZojFGZxw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8w0G2Yc95nOBLxNCayjq1g,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.6★),
8wfjxXNYEViVwig-SswjKg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.9★)
8wkPLsDbGU3GcW8CoD-4aA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8xM8akbQhHDQdJO1sPMB1A,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
8xV1PeAKQ64uJUTrqqe34g,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (4.8★),
8xjBQgZsIivU_qfbXYGrZw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.9★)
8yPwrhB7jqEB7arUxL5-fA,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
8yZzf0gdWpSmY6ziyq7hKQ,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
8yy8PtUdZv_3XxmmrLNhvw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
8zBmf2sXiiCl1EuztLWNhQ,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9-1C7wFYA53uxXXYTYCbKw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9-ko2uX5p7h17KbpobOGaw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
900VYF8eLWoFt2FlMQ_gyA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
906LNhIYthmVJlKdS40PYw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
90LsqLbaoQpz_xNbSQsCFA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
91gDFsfejFglVwdQWnkOpg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
956T4LrfnQCeiCtm9YXxTg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
95NWdx75Gwy4r_IGGuCnmQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
95Pw5mF_PMbfvXN_K-mXWQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
968Pa4ZZRrRLW5KeWL-k2Q,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
96U1zRixy6c4vzmXAxbhHw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
96xOmjfSB6RoKUFAF8yzIw,Many people come back repeatedly (16% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Not the highest rated, but consistently chosen by regulars","Popular year-round, not just seasonal"
97PA4BTfAm6OwuDObQ4n5Q,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
981Xj6Sey1CjyP6WQ70lzg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
98JiQQWF-GXM-RcjT0AyNA,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,,
98mYebjHN_VXZapVm8Nmqg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
99VA9y7rdlDzl_-Rd-WKKA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
99zoELPcbwRBUqiPoaPqiQ,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (5.0★),
9A5Gw0At6so0x-vWM0_JZw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9CRWWbw3iOo4-9FMAO6nKw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9CcYG7sneFNwy09sp7GKuA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9D--6413BnOOSqlbCFIGkA,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (5.0★),
9D0aKRGsutg8S0ClIanmrA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.6★),,
9DhjKaR2f9wKATnUvxBAgg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9E-niGRtxsbA0xiTHfsKIw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9Ekfby4OgzWs96RO8M4tnQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9FNrCSiR6s5oYNyxGv4DtQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (4.8★),
9Hz4L2kothD6hzwcMa5-zw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9I3pqS1gTmVX5Hmu5KKU1g,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9Ip7jPc0L8BfqwAYa7Lqzg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9L7yi0YRdzbK1KCjBsalNw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9LZWyTM6KCr6JvfWEgGeQw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9LkxqWm0d-UnRWItuDRt6g,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9MHIC3BTGyE68EHD52XLCw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9N3rRQEoCN2or2byuSVJvQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (4.7★),
9NeR-LIQBXPkCw2K07lrvg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9OkoIFBL8K8I7ejvZnrgUg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9P3pSXCxp5CzTq96qhTdGQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",Excellent customer ratings (4.8★),
9P6lEvHdJL8dy9VPpIgieg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9Q8eNNRnb_Higrs7TvR8lg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9QT1KgrNutANvTzT_UChcg,Many people come back repeatedly (20% return rate),Loyalty is broad across many users (not dominated by super-users),"Not the highest rated, but consistently chosen by regulars","Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage)
9QWwqxQkG8Q_cwvkRwPvYQ,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9QdXPBRzVRJ8HYouYKQcHw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9RDKqyqXJcupSnA2vCIs_A,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9RmCMNxgGe7vX5MYF_TM4Q,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9RvqC8Dh08QAp4qtcSgjpw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9SDMmYFtwSeQ7-ynEI2cgw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9SVub2VmfgMmyqe3KQh3bA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9T0KlT0HW75LM-sTEPBPbg,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9TJzfMc4gEKSUxfnGcj6dw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.5★)
9U2w4rQlIgBQqHuTRgp7Rw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9Udgv_7h8oj6NXq5hQeJow,Many people come back repeatedly (11% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),Highly rated AND consistently chosen by regulars,"Popular year-round, not just seasonal"
9WOuyt0MWs_Lvr7NZBK2oQ,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9Wor6FL3k1Ce5cVSUcnbxA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9XWyNzOJtfVNZlNFk-kPXA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9Xcj1jOXxzz3IsImANGTNg,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9XjXIqQFQ2SfeHTwPRngIA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9XotjNYdPzWCokrVMRo4Mg,Many people come back repeatedly (11% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),Highly rated AND consistently chosen by regulars,"Popular year-round, not just seasonal"
9XpU6r6ATXSWYfbU7kibaQ,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9XzPqLGIkuN1rmqWH7aP9A,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.9★)
9YxqrKuDxwbMqcbKmTQFtQ,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9ZFCaOWsiXF3iQW26gcB7Q,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9ZGG0q8GZ3Mh-HzG0livdA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9ZcxmF09BwB7K2R_I0yU1g,Many people come back repeatedly (11% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",
9_g3DU-5BnpTH1DC1kIe-w,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.8★)
9_m_iA3VAqGBJEW5XLc-5w,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.7★),,
9_uigKs9GCwg9dFKkq_Kfg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9b1zwZatzcDYNNVwfiBrjA,Many people come back repeatedly (14% return rate),Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",
9bH5Xc39pDsh70N9vUdBGg,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9c1p8TTOG_F55i3yEiVVDQ,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9dTadxqN5hvIVwnhpxlrDA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9dTnpsb_tO25h44IAoeRjQ,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9dW3CVyvnTXdkXg2AOyBfw,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.7★),
9e3uANpD7iRNNGpdfrt5nA,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9eYm5gwEOhBQdkg9ihV7EA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9f48RWEylLgrkCt0-49iHw,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9fLkROUd4EcFlbf8NKzxbw,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",,
9fajAXTAT1A_pcGakz64hA,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9g9wQVMGXZRJaQccBU9c6A,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),
9gQ3s8WlhHTJen4bCkZYGQ,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),,
9hUAOvJlS49CJyRWsx22fA,Loyalty is broad across many users (not dominated by super-users),No single user dominates visits (healthy diverse patronage),,,
9hWw-Lffnc9jCTgGnnJt6g,Visit activity is steady over time,Loyalty is broad across many users (not dominated by super-users),"Popular year-round, not just seasonal",No single user dominates visits (healthy diverse patronage),Excellent customer ratings (4.9★)
